Id,Region,Country,State,City,Month,Day,Year,AvgDailyTemperature
794485,Europe,Italy,,Milan,1,1,1995,42.2
794486,Europe,Italy,,Milan,1,2,1995,35.5
794487,Europe,Italy,,Milan,1,3,1995,35.1
794488,Europe,Italy,,Milan,1,4,1995,32.5
794489,Europe,Italy,,Milan,1,5,1995,22.7
794490,Europe,Italy,,Milan,1,6,1995,22.2
794491,Europe,Italy,,Milan,1,7,1995,21.5
794492,Europe,Italy,,Milan,1,8,1995,25.7
794493,Europe,Italy,,Milan,1,9,1995,23.8
794494,Europe,Italy,,Milan,1,10,1995,31.3
794495,Europe,Italy,,Milan,1,11,1995,41.9
794496,Europe,Italy,,Milan,1,12,1995,36.2
794497,Europe,Italy,,Milan,1,13,1995,36.4
794498,Europe,Italy,,Milan,1,14,1995,26.0
794499,Europe,Italy,,Milan,1,15,1995,25.3
794500,Europe,Italy,,Milan,1,16,1995,27.4
794501,Europe,Italy,,Milan,1,17,1995,24.8
794502,Europe,Italy,,Milan,1,18,1995,32.8
794503,Europe,Italy,,Milan,1,19,1995,34.1
794504,Europe,Italy,,Milan,1,20,1995,32.1
794505,Europe,Italy,,Milan,1,21,1995,34.9
794506,Europe,Italy,,Milan,1,22,1995,33.8
794507,Europe,Italy,,Milan,1,23,1995,34.9
794508,Europe,Italy,,Milan,1,24,1995,37.7
794509,Europe,Italy,,Milan,1,25,1995,37.7
794510,Europe,Italy,,Milan,1,26,1995,35.2
794511,Europe,Italy,,Milan,1,27,1995,38.6
794512,Europe,Italy,,Milan,1,28,1995,33.3
794513,Europe,Italy,,Milan,1,29,1995,33.5
794514,Europe,Italy,,Milan,1,30,1995,40.6
794515,Europe,Italy,,Milan,1,31,1995,44.8
794516,Europe,Italy,,Milan,2,1,1995,35.1
794517,Europe,Italy,,Milan,2,2,1995,32.2
794518,Europe,Italy,,Milan,2,3,1995,35.2
794519,Europe,Italy,,Milan,2,4,1995,33.3
794520,Europe,Italy,,Milan,2,5,1995,39.9
794521,Europe,Italy,,Milan,2,6,1995,44.2
794522,Europe,Italy,,Milan,2,7,1995,43.6
794523,Europe,Italy,,Milan,2,8,1995,39.3
794524,Europe,Italy,,Milan,2,9,1995,41.8
794525,Europe,Italy,,Milan,2,10,1995,41.9
794526,Europe,Italy,,Milan,2,11,1995,42.2
794527,Europe,Italy,,Milan,2,12,1995,41.6
794528,Europe,Italy,,Milan,2,13,1995,43.0
794529,Europe,Italy,,Milan,2,14,1995,43.1
794530,Europe,Italy,,Milan,2,15,1995,40.3
794531,Europe,Italy,,Milan,2,16,1995,40.2
794532,Europe,Italy,,Milan,2,17,1995,43.9
794533,Europe,Italy,,Milan,2,18,1995,46.8
794534,Europe,Italy,,Milan,2,19,1995,42.4
794535,Europe,Italy,,Milan,2,20,1995,39.8
794536,Europe,Italy,,Milan,2,21,1995,40.2
794537,Europe,Italy,,Milan,2,22,1995,44.1
794538,Europe,Italy,,Milan,2,23,1995,41.1
794539,Europe,Italy,,Milan,2,24,1995,35.5
794540,Europe,Italy,,Milan,2,25,1995,36.9
794541,Europe,Italy,,Milan,2,26,1995,37.9
794542,Europe,Italy,,Milan,2,27,1995,45.6
794543,Europe,Italy,,Milan,2,28,1995,38.2
794544,Europe,Italy,,Milan,3,1,1995,38.3
794545,Europe,Italy,,Milan,3,2,1995,39.8
794546,Europe,Italy,,Milan,3,3,1995,39.5
794547,Europe,Italy,,Milan,3,4,1995,38.7
794548,Europe,Italy,,Milan,3,5,1995,39.9
794549,Europe,Italy,,Milan,3,6,1995,45.3
794550,Europe,Italy,,Milan,3,7,1995,39.4
794551,Europe,Italy,,Milan,3,8,1995,33.8
794552,Europe,Italy,,Milan,3,9,1995,41.5
794553,Europe,Italy,,Milan,3,10,1995,40.2
794554,Europe,Italy,,Milan,3,11,1995,39.6
794555,Europe,Italy,,Milan,3,12,1995,42.7
794556,Europe,Italy,,Milan,3,13,1995,44.9
794557,Europe,Italy,,Milan,3,14,1995,41.7
794558,Europe,Italy,,Milan,3,15,1995,41.2
794559,Europe,Italy,,Milan,3,16,1995,42.7
794560,Europe,Italy,,Milan,3,17,1995,43.9
794561,Europe,Italy,,Milan,3,18,1995,46.2
794562,Europe,Italy,,Milan,3,19,1995,48.0
794563,Europe,Italy,,Milan,3,20,1995,47.7
794564,Europe,Italy,,Milan,3,21,1995,42.2
794565,Europe,Italy,,Milan,3,22,1995,47.1
794566,Europe,Italy,,Milan,3,23,1995,43.3
794567,Europe,Italy,,Milan,3,24,1995,48.5
794568,Europe,Italy,,Milan,3,25,1995,49.2
794569,Europe,Italy,,Milan,3,26,1995,48.8
794570,Europe,Italy,,Milan,3,27,1995,51.2
794571,Europe,Italy,,Milan,3,28,1995,44.4
794572,Europe,Italy,,Milan,3,29,1995,43.2
794573,Europe,Italy,,Milan,3,30,1995,44.7
794574,Europe,Italy,,Milan,3,31,1995,41.2
794575,Europe,Italy,,Milan,4,1,1995,46.7
794576,Europe,Italy,,Milan,4,2,1995,54.6
794577,Europe,Italy,,Milan,4,3,1995,55.1
794578,Europe,Italy,,Milan,4,4,1995,53.6
794579,Europe,Italy,,Milan,4,5,1995,53.8
794580,Europe,Italy,,Milan,4,6,1995,57.5
794581,Europe,Italy,,Milan,4,7,1995,58.7
794582,Europe,Italy,,Milan,4,8,1995,60.6
794583,Europe,Italy,,Milan,4,9,1995,52.0
794584,Europe,Italy,,Milan,4,10,1995,46.7
794585,Europe,Italy,,Milan,4,11,1995,48.6
794586,Europe,Italy,,Milan,4,12,1995,52.5
794587,Europe,Italy,,Milan,4,13,1995,55.2
794588,Europe,Italy,,Milan,4,14,1995,43.2
794589,Europe,Italy,,Milan,4,15,1995,42.8
794590,Europe,Italy,,Milan,4,16,1995,48.8
794591,Europe,Italy,,Milan,4,17,1995,54.0
794592,Europe,Italy,,Milan,4,18,1995,51.6
794593,Europe,Italy,,Milan,4,19,1995,53.5
794594,Europe,Italy,,Milan,4,20,1995,54.2
794595,Europe,Italy,,Milan,4,21,1995,56.0
794596,Europe,Italy,,Milan,4,22,1995,52.4
794597,Europe,Italy,,Milan,4,23,1995,49.5
794598,Europe,Italy,,Milan,4,24,1995,51.4
794599,Europe,Italy,,Milan,4,25,1995,51.6
794600,Europe,Italy,,Milan,4,26,1995,51.4
794601,Europe,Italy,,Milan,4,27,1995,54.4
794602,Europe,Italy,,Milan,4,28,1995,53.5
794603,Europe,Italy,,Milan,4,29,1995,56.6
794604,Europe,Italy,,Milan,4,30,1995,57.7
794605,Europe,Italy,,Milan,5,1,1995,60.5
794606,Europe,Italy,,Milan,5,2,1995,60.6
794607,Europe,Italy,,Milan,5,3,1995,63.0
794608,Europe,Italy,,Milan,5,4,1995,61.7
794609,Europe,Italy,,Milan,5,5,1995,61.9
794610,Europe,Italy,,Milan,5,6,1995,63.5
794611,Europe,Italy,,Milan,5,7,1995,61.5
794612,Europe,Italy,,Milan,5,8,1995,62.3
794613,Europe,Italy,,Milan,5,9,1995,60.1
794614,Europe,Italy,,Milan,5,10,1995,59.3
794615,Europe,Italy,,Milan,5,11,1995,55.3
794616,Europe,Italy,,Milan,5,12,1995,52.6
794617,Europe,Italy,,Milan,5,13,1995,56.7
794618,Europe,Italy,,Milan,5,14,1995,56.4
794619,Europe,Italy,,Milan,5,15,1995,48.9
794620,Europe,Italy,,Milan,5,16,1995,51.7
794621,Europe,Italy,,Milan,5,17,1995,54.7
794622,Europe,Italy,,Milan,5,18,1995,56.5
794623,Europe,Italy,,Milan,5,19,1995,60.1
794624,Europe,Italy,,Milan,5,20,1995,56.6
794625,Europe,Italy,,Milan,5,21,1995,57.6
794626,Europe,Italy,,Milan,5,22,1995,58.3
794627,Europe,Italy,,Milan,5,23,1995,58.9
794628,Europe,Italy,,Milan,5,24,1995,59.0
794629,Europe,Italy,,Milan,5,25,1995,63.5
794630,Europe,Italy,,Milan,5,26,1995,60.6
794631,Europe,Italy,,Milan,5,27,1995,62.2
794632,Europe,Italy,,Milan,5,28,1995,66.4
794633,Europe,Italy,,Milan,5,29,1995,70.4
794634,Europe,Italy,,Milan,5,30,1995,65.0
794635,Europe,Italy,,Milan,5,31,1995,60.1
794636,Europe,Italy,,Milan,6,1,1995,59.4
794637,Europe,Italy,,Milan,6,2,1995,61.2
794638,Europe,Italy,,Milan,6,3,1995,59.4
794639,Europe,Italy,,Milan,6,4,1995,60.5
794640,Europe,Italy,,Milan,6,5,1995,57.4
794641,Europe,Italy,,Milan,6,6,1995,58.0
794642,Europe,Italy,,Milan,6,7,1995,63.0
794643,Europe,Italy,,Milan,6,8,1995,63.1
794644,Europe,Italy,,Milan,6,9,1995,64.3
794645,Europe,Italy,,Milan,6,10,1995,60.5
794646,Europe,Italy,,Milan,6,11,1995,56.0
794647,Europe,Italy,,Milan,6,12,1995,53.2
794648,Europe,Italy,,Milan,6,13,1995,56.7
794649,Europe,Italy,,Milan,6,14,1995,60.6
794650,Europe,Italy,,Milan,6,15,1995,59.5
794651,Europe,Italy,,Milan,6,16,1995,61.5
794652,Europe,Italy,,Milan,6,17,1995,62.6
794653,Europe,Italy,,Milan,6,18,1995,67.0
794654,Europe,Italy,,Milan,6,19,1995,69.9
794655,Europe,Italy,,Milan,6,20,1995,72.6
794656,Europe,Italy,,Milan,6,21,1995,73.8
794657,Europe,Italy,,Milan,6,22,1995,75.5
794658,Europe,Italy,,Milan,6,23,1995,60.5
794659,Europe,Italy,,Milan,6,24,1995,55.7
794660,Europe,Italy,,Milan,6,25,1995,60.8
794661,Europe,Italy,,Milan,6,26,1995,68.4
794662,Europe,Italy,,Milan,6,27,1995,72.0
794663,Europe,Italy,,Milan,6,28,1995,73.0
794664,Europe,Italy,,Milan,6,29,1995,74.7
794665,Europe,Italy,,Milan,6,30,1995,74.7
794666,Europe,Italy,,Milan,7,1,1995,73.9
794667,Europe,Italy,,Milan,7,2,1995,73.9
794668,Europe,Italy,,Milan,7,3,1995,66.7
794669,Europe,Italy,,Milan,7,4,1995,67.2
794670,Europe,Italy,,Milan,7,5,1995,66.6
794671,Europe,Italy,,Milan,7,6,1995,69.2
794672,Europe,Italy,,Milan,7,7,1995,72.7
794673,Europe,Italy,,Milan,7,8,1995,72.6
794674,Europe,Italy,,Milan,7,9,1995,74.4
794675,Europe,Italy,,Milan,7,10,1995,75.3
794676,Europe,Italy,,Milan,7,11,1995,72.8
794677,Europe,Italy,,Milan,7,12,1995,73.8
794678,Europe,Italy,,Milan,7,13,1995,75.9
794679,Europe,Italy,,Milan,7,14,1995,71.5
794680,Europe,Italy,,Milan,7,15,1995,73.6
794681,Europe,Italy,,Milan,7,16,1995,75.0
794682,Europe,Italy,,Milan,7,17,1995,74.3
794683,Europe,Italy,,Milan,7,18,1995,74.6
794684,Europe,Italy,,Milan,7,19,1995,75.9
794685,Europe,Italy,,Milan,7,20,1995,78.5
794686,Europe,Italy,,Milan,7,21,1995,79.8
794687,Europe,Italy,,Milan,7,22,1995,79.9
794688,Europe,Italy,,Milan,7,23,1995,78.8
794689,Europe,Italy,,Milan,7,24,1995,79.3
794690,Europe,Italy,,Milan,7,25,1995,78.0
794691,Europe,Italy,,Milan,7,26,1995,79.3
794692,Europe,Italy,,Milan,7,27,1995,78.2
794693,Europe,Italy,,Milan,7,28,1995,79.1
794694,Europe,Italy,,Milan,7,29,1995,76.6
794695,Europe,Italy,,Milan,7,30,1995,72.4
794696,Europe,Italy,,Milan,7,31,1995,71.4
794697,Europe,Italy,,Milan,8,1,1995,73.5
794698,Europe,Italy,,Milan,8,2,1995,75.5
794699,Europe,Italy,,Milan,8,3,1995,74.5
794700,Europe,Italy,,Milan,8,4,1995,75.8
794701,Europe,Italy,,Milan,8,5,1995,75.2
794702,Europe,Italy,,Milan,8,6,1995,74.4
794703,Europe,Italy,,Milan,8,7,1995,71.0
794704,Europe,Italy,,Milan,8,8,1995,67.6
794705,Europe,Italy,,Milan,8,9,1995,68.9
794706,Europe,Italy,,Milan,8,10,1995,71.3
794707,Europe,Italy,,Milan,8,11,1995,72.1
794708,Europe,Italy,,Milan,8,12,1995,70.5
794709,Europe,Italy,,Milan,8,13,1995,72.8
794710,Europe,Italy,,Milan,8,14,1995,72.1
794711,Europe,Italy,,Milan,8,15,1995,68.8
794712,Europe,Italy,,Milan,8,16,1995,70.4
794713,Europe,Italy,,Milan,8,17,1995,65.8
794714,Europe,Italy,,Milan,8,18,1995,63.9
794715,Europe,Italy,,Milan,8,19,1995,65.3
794716,Europe,Italy,,Milan,8,20,1995,68.1
794717,Europe,Italy,,Milan,8,21,1995,67.5
794718,Europe,Italy,,Milan,8,22,1995,67.8
794719,Europe,Italy,,Milan,8,23,1995,67.2
794720,Europe,Italy,,Milan,8,24,1995,69.9
794721,Europe,Italy,,Milan,8,25,1995,70.3
794722,Europe,Italy,,Milan,8,26,1995,67.9
794723,Europe,Italy,,Milan,8,27,1995,69.6
794724,Europe,Italy,,Milan,8,28,1995,66.5
794725,Europe,Italy,,Milan,8,29,1995,62.9
794726,Europe,Italy,,Milan,8,30,1995,61.2
794727,Europe,Italy,,Milan,8,31,1995,55.7
794728,Europe,Italy,,Milan,9,1,1995,58.8
794729,Europe,Italy,,Milan,9,2,1995,61.6
794730,Europe,Italy,,Milan,9,3,1995,62.8
794731,Europe,Italy,,Milan,9,4,1995,61.4
794732,Europe,Italy,,Milan,9,5,1995,59.1
794733,Europe,Italy,,Milan,9,6,1995,61.6
794734,Europe,Italy,,Milan,9,7,1995,60.0
794735,Europe,Italy,,Milan,9,8,1995,61.2
794736,Europe,Italy,,Milan,9,9,1995,62.6
794737,Europe,Italy,,Milan,9,10,1995,61.4
794738,Europe,Italy,,Milan,9,11,1995,64.2
794739,Europe,Italy,,Milan,9,12,1995,64.1
794740,Europe,Italy,,Milan,9,13,1995,59.0
794741,Europe,Italy,,Milan,9,14,1995,58.6
794742,Europe,Italy,,Milan,9,15,1995,59.8
794743,Europe,Italy,,Milan,9,16,1995,58.1
794744,Europe,Italy,,Milan,9,17,1995,59.3
794745,Europe,Italy,,Milan,9,18,1995,61.7
794746,Europe,Italy,,Milan,9,19,1995,59.9
794747,Europe,Italy,,Milan,9,20,1995,58.1
794748,Europe,Italy,,Milan,9,21,1995,57.2
794749,Europe,Italy,,Milan,9,22,1995,58.3
794750,Europe,Italy,,Milan,9,23,1995,56.2
794751,Europe,Italy,,Milan,9,24,1995,58.7
794752,Europe,Italy,,Milan,9,25,1995,53.3
794753,Europe,Italy,,Milan,9,26,1995,53.0
794754,Europe,Italy,,Milan,9,27,1995,57.1
794755,Europe,Italy,,Milan,9,28,1995,59.9
794756,Europe,Italy,,Milan,9,29,1995,53.2
794757,Europe,Italy,,Milan,9,30,1995,48.8
794758,Europe,Italy,,Milan,10,1,1995,52.5
794759,Europe,Italy,,Milan,10,2,1995,59.3
794760,Europe,Italy,,Milan,10,3,1995,61.2
794761,Europe,Italy,,Milan,10,4,1995,59.8
794762,Europe,Italy,,Milan,10,5,1995,61.3
794763,Europe,Italy,,Milan,10,6,1995,62.5
